问题,选项A,选项B,选项C,分类,提示
你想住进哪种电影世界？,魔法世界,科幻世界,武侠世界,脑洞,
如果能养一只神兽，你选？,龙,凤凰,独角兽,脑洞,
你想拥有哪种房子？,树屋,海边小屋,城市高楼,脑洞,
如果明天开始隐形，你会先？,恶作剧,帮助别人,好好睡觉,脑洞,
你想把哪种东西变大？,钱包,冰箱,房间,脑洞,
如果时间可以暂停，你会？,补眠,旅行,完成所有工作,脑洞,
你想发明哪种日常工具？,自动整理机,瞬间煮饭机,不会迟到的闹钟,脑洞,
如果能改变天气，你选？,永远晴天,每天有微风,只在夜晚下雨,脑洞,
你想和哪种角色当邻居？,超级英雄,侦探,厨师,脑洞,
如果今天不用上班，我会先去 ______。,,,,脑洞,填入一个地点或活动
我最常对自己说的一句话是：「______」。,,,,脑洞,可以是口头禅
朋友迟到时，我心里想的是 ______。,,,,脑洞,写下第一个浮现的念头
我房间里最值得留下的东西是 ______。,,,,脑洞,物品、回忆或一个角落都可以
我吃火锅时一定会点 ______。,,,,脑洞,填一种食材或饮料
最能代表我的颜色是 ______。,,,,脑洞,颜色名称即可
如果要开一家店，我会卖 ______。,,,,脑洞,想象一个你会逛的店
我最不想在旅行中遇到 ______。,,,,脑洞,一件倒楣的事
我的超能力会是 ______。,,,,脑洞,越具体越好玩
我最想和 ______ 一起吃饭。,,,,脑洞,可以是真实人物或虚构角色
在荒岛上，我一定要带 ______。,,,,脑洞,只能填一样东西
我最常把 ______ 忘在家里。,,,,脑洞,生活中的小物
让我立刻开心的事情是 ______。,,,,脑洞,一句话或一个动作
我最想删掉的手机 App 是 ______。,,,,脑洞,不一定真的会删
我会把最后一口 ______ 留给自己。,,,,脑洞,一种食物
我最常在 ______ 的时候突然有灵感。,,,,脑洞,一个场景
我希望世界上多一个 ______ 的假日。,,,,脑洞,可以是荒谬的主题
最适合我的座右铭是 ______。,,,,脑洞,八个字以内更有力
我最想学会的料理是 ______。,,,,脑洞,一道菜就好
如果明天放假，我会穿着 ______ 出门。,,,,脑洞,填一件衣物
我认为最浪漫的约会地点是 ______。,,,,脑洞,地点或场景
我最害怕看到 ______ 出现在已读消息旁。,,,,脑洞,一个符号或状态
我在聚会中最常负责 ______。,,,,脑洞,一个角色
我最想把家里的 ______ 换成新的。,,,,脑洞,一件家具或家电
如果可以重来，我会重看 ______。,,,,脑洞,一部作品或一段回忆
我觉得最被低估的食物是 ______。,,,,脑洞,写出你的冷门爱好
我最常用 ______ 来逃避工作。,,,,脑洞,一件小事
我会为了 ______ 愿意早起。,,,,脑洞,值得早起的事
我最想收到的惊喜是 ______。,,,,脑洞,礼物、行程或一句话
我人生的背景音乐会是 ______。,,,,脑洞,歌名、曲风或声音
我最想在 ______ 的地方醒来。,,,,脑洞,一个风景
我觉得 ______ 比金钱更珍贵。,,,,脑洞,一种价值
我的手机相册里最多的是 ______。,,,,脑洞,一种照片
我最想和朋友一起完成 ______。,,,,脑洞,一个挑战或计划
我最常在 ______ 的时候说「算了」。,,,,脑洞,一种情境
我心中的完美下午茶是 ______。,,,,脑洞,一种组合
如果要养第二只宠物，我会选 ______。,,,,脑洞,动物名称
我最想把哪个技能教给所有人？______。,,,,脑洞,一种生活技能
我会把第一笔奖金花在 ______。,,,,脑洞,一个具体用途
我最喜欢的下雨声像 ______。,,,,脑洞,一个比喻
我最想收藏一整套 ______。,,,,脑洞,物品或作品
我希望别人记得我的 ______。,,,,脑洞,一个优点或特色
我最常在 ______ 里迷路。,,,,脑洞,真实或想象的地方
如果只能保留一个社交，我会留 ______。,,,,脑洞,平台或聊天群组
我最想把 ______ 变成一门课。,,,,脑洞,任何主题都行
我觉得最像我的天气是 ______。,,,,脑洞,晴天、雷雨或更特别的答案
我会为了看 ______ 而排队一小时。,,,,脑洞,一个值得等待的事物
我最想对十年前的自己说 ______。,,,,脑洞,一句话
我最喜欢的房间角落是 ______。,,,,脑洞,一个位置
我认为最疗愈的声音是 ______。,,,,脑洞,生活中的声音
我最想和大家一起庆祝 ______。,,,,脑洞,一个节日或成就
我的理想早餐桌上一定有 ______。,,,,脑洞,食物或饮料
我最常把「等等再做」用在 ______。,,,,脑洞,一件拖延中的事
如果我是一本书，书名会是《______》。,,,,脑洞,替自己取一个书名
我最想在 ______ 的季节旅行。,,,,脑洞,春夏秋冬或自创季节
我最容易被 ______ 打动。,,,,脑洞,一种举动或一句话
我会把今天的心情画成 ______。,,,,脑洞,一个形状、物件或景色
我最想在房间放一面 ______ 墙。,,,,脑洞,照片、书或其他收藏
我觉得大人最需要的玩具是 ______。,,,,脑洞,一个让人放松的东西
我会为了 ______ 改变一天的行程。,,,,脑洞,一件值得破例的事
我希望下次聚会可以多一个 ______。,,,,脑洞,食物、活动或角色
如果只能在哆啦A梦和蜡笔小新中选一位当室友，你会选谁？,哆啦A梦,蜡笔小新,,动漫,
如果今晚只能请哆啦A梦或蜡笔小新吃宵夜，你会请谁？,哆啦A梦,蜡笔小新,,动漫,
如果要组队闯关，你会选择哆啦A梦还是蜡笔小新？,哆啦A梦,蜡笔小新,,动漫,
如果让哆啦A梦或蜡笔小新当一天导游，你会选谁？,哆啦A梦,蜡笔小新,,动漫,
如果只能在孙悟空和漩涡鸣人中选一位当室友，你会选谁？,孙悟空,漩涡鸣人,,动漫,
如果今晚只能请孙悟空或漩涡鸣人吃宵夜，你会请谁？,孙悟空,漩涡鸣人,,动漫,
如果要组队闯关，你会选择孙悟空还是漩涡鸣人？,孙悟空,漩涡鸣人,,动漫,
如果让孙悟空或漩涡鸣人当一天导游，你会选谁？,孙悟空,漩涡鸣人,,动漫,
如果只能在炭治郎和五条悟中选一位当室友，你会选谁？,炭治郎,五条悟,,动漫,
如果今晚只能请炭治郎或五条悟吃宵夜，你会请谁？,炭治郎,五条悟,,动漫,
如果要组队闯关，你会选择炭治郎还是五条悟？,炭治郎,五条悟,,动漫,
如果让炭治郎或五条悟当一天导游，你会选谁？,炭治郎,五条悟,,动漫,
如果只能在柯南和怪盗基德中选一位当室友，你会选谁？,柯南,怪盗基德,,动漫,
如果今晚只能请柯南或怪盗基德吃宵夜，你会请谁？,柯南,怪盗基德,,动漫,
如果要组队闯关，你会选择柯南还是怪盗基德？,柯南,怪盗基德,,动漫,
如果让柯南或怪盗基德当一天导游，你会选谁？,柯南,怪盗基德,,动漫,
如果只能在小智和路卡利欧中选一位当室友，你会选谁？,小智,路卡利欧,,动漫,
如果今晚只能请小智或路卡利欧吃宵夜，你会请谁？,小智,路卡利欧,,动漫,
如果要组队闯关，你会选择小智还是路卡利欧？,小智,路卡利欧,,动漫,
如果让小智或路卡利欧当一天导游，你会选谁？,小智,路卡利欧,,动漫,
如果只能在路飞和索隆中选一位当室友，你会选谁？,路飞,索隆,,动漫,
如果今晚只能请路飞或索隆吃宵夜，你会请谁？,路飞,索隆,,动漫,
如果要组队闯关，你会选择路飞还是索隆？,路飞,索隆,,动漫,
如果让路飞或索隆当一天导游，你会选谁？,路飞,索隆,,动漫,
如果只能在阿拉蕾和樱桃小丸子中选一位当室友，你会选谁？,阿拉蕾,樱桃小丸子,,动漫,
如果今晚只能请阿拉蕾或樱桃小丸子吃宵夜，你会请谁？,阿拉蕾,樱桃小丸子,,动漫,
如果要组队闯关，你会选择阿拉蕾还是樱桃小丸子？,阿拉蕾,樱桃小丸子,,动漫,
如果让阿拉蕾或樱桃小丸子当一天导游，你会选谁？,阿拉蕾,樱桃小丸子,,动漫,
如果只能在小丸子和花轮同学中选一位当室友，你会选谁？,小丸子,花轮同学,,动漫,
如果今晚只能请小丸子或花轮同学吃宵夜，你会请谁？,小丸子,花轮同学,,动漫,
如果要组队闯关，你会选择小丸子还是花轮同学？,小丸子,花轮同学,,动漫,
如果让小丸子或花轮同学当一天导游，你会选谁？,小丸子,花轮同学,,动漫,
如果只能在神乐和银时中选一位当室友，你会选谁？,神乐,银时,,动漫,
如果今晚只能请神乐或银时吃宵夜，你会请谁？,神乐,银时,,动漫,
如果要组队闯关，你会选择神乐还是银时？,神乐,银时,,动漫,
如果让神乐或银时当一天导游，你会选谁？,神乐,银时,,动漫,
如果只能在千寻和无脸男中选一位当室友，你会选谁？,千寻,无脸男,,动漫,
如果今晚只能请千寻或无脸男吃宵夜，你会请谁？,千寻,无脸男,,动漫,
如果要组队闯关，你会选择千寻还是无脸男？,千寻,无脸男,,动漫,
如果让千寻或无脸男当一天导游，你会选谁？,千寻,无脸男,,动漫,
如果只能在哈尔和苏菲中选一位当室友，你会选谁？,哈尔,苏菲,,动漫,
如果今晚只能请哈尔或苏菲吃宵夜，你会请谁？,哈尔,苏菲,,动漫,
如果要组队闯关，你会选择哈尔还是苏菲？,哈尔,苏菲,,动漫,
如果让哈尔或苏菲当一天导游，你会选谁？,哈尔,苏菲,,动漫,
如果只能在白雪公主和小美人鱼中选一位当室友，你会选谁？,白雪公主,小美人鱼,,动漫,
如果今晚只能请白雪公主或小美人鱼吃宵夜，你会请谁？,白雪公主,小美人鱼,,动漫,
如果要组队闯关，你会选择白雪公主还是小美人鱼？,白雪公主,小美人鱼,,动漫,
如果让白雪公主或小美人鱼当一天导游，你会选谁？,白雪公主,小美人鱼,,动漫,
如果只能在蜘蛛人和蝙蝠侠中选一位当室友，你会选谁？,蜘蛛人,蝙蝠侠,,动漫,
如果今晚只能请蜘蛛人或蝙蝠侠吃宵夜，你会请谁？,蜘蛛人,蝙蝠侠,,动漫,
如果要组队闯关，你会选择蜘蛛人还是蝙蝠侠？,蜘蛛人,蝙蝠侠,,动漫,
如果让蜘蛛人或蝙蝠侠当一天导游，你会选谁？,蜘蛛人,蝙蝠侠,,动漫,
如果只能在钢铁人和美国队长中选一位当室友，你会选谁？,钢铁人,美国队长,,动漫,
如果今晚只能请钢铁人或美国队长吃宵夜，你会请谁？,钢铁人,美国队长,,动漫,
如果要组队闯关，你会选择钢铁人还是美国队长？,钢铁人,美国队长,,动漫,
如果让钢铁人或美国队长当一天导游，你会选谁？,钢铁人,美国队长,,动漫,
如果只能在超人和神力女超人中选一位当室友，你会选谁？,超人,神力女超人,,动漫,
如果今晚只能请超人或神力女超人吃宵夜，你会请谁？,超人,神力女超人,,动漫,
如果要组队闯关，你会选择超人还是神力女超人？,超人,神力女超人,,动漫,
如果让超人或神力女超人当一天导游，你会选谁？,超人,神力女超人,,动漫,
如果只能和哈利波特或妙丽一起旅行，你会选谁？,哈利波特,妙丽,,电影,
如果只能邀请哈利波特或妙丽来家里吃饭，你会选谁？,哈利波特,妙丽,,电影,
如果哈利波特和妙丽都愿意借你一件道具，你会找谁？,哈利波特,妙丽,,电影,
如果要合开一间店，你会选择哈利波特还是妙丽？,哈利波特,妙丽,,电影,
如果只能和达斯·维达或尤达大师一起旅行，你会选谁？,达斯·维达,尤达大师,,电影,
如果只能邀请达斯·维达或尤达大师来家里吃饭，你会选谁？,达斯·维达,尤达大师,,电影,
如果达斯·维达和尤达大师都愿意借你一件道具，你会找谁？,达斯·维达,尤达大师,,电影,
如果要合开一间店，你会选择达斯·维达还是尤达大师？,达斯·维达,尤达大师,,电影,
如果只能和艾莎或安娜一起旅行，你会选谁？,艾莎,安娜,,电影,
如果只能邀请艾莎或安娜来家里吃饭，你会选谁？,艾莎,安娜,,电影,
如果艾莎和安娜都愿意借你一件道具，你会找谁？,艾莎,安娜,,电影,
如果要合开一间店，你会选择艾莎还是安娜？,艾莎,安娜,,电影,
如果只能和巴斯光年或胡迪一起旅行，你会选谁？,巴斯光年,胡迪,,电影,
如果只能邀请巴斯光年或胡迪来家里吃饭，你会选谁？,巴斯光年,胡迪,,电影,
如果巴斯光年和胡迪都愿意借你一件道具，你会找谁？,巴斯光年,胡迪,,电影,
如果要合开一间店，你会选择巴斯光年还是胡迪？,巴斯光年,胡迪,,电影,
如果只能和瓦力或伊芙一起旅行，你会选谁？,瓦力,伊芙,,电影,
如果只能邀请瓦力或伊芙来家里吃饭，你会选谁？,瓦力,伊芙,,电影,
如果瓦力和伊芙都愿意借你一件道具，你会找谁？,瓦力,伊芙,,电影,
如果要合开一间店，你会选择瓦力还是伊芙？,瓦力,伊芙,,电影,
如果只能和蝙蝠侠或小丑一起旅行，你会选谁？,蝙蝠侠,小丑,,电影,
如果只能邀请蝙蝠侠或小丑来家里吃饭，你会选谁？,蝙蝠侠,小丑,,电影,
如果蝙蝠侠和小丑都愿意借你一件道具，你会找谁？,蝙蝠侠,小丑,,电影,
如果要合开一间店，你会选择蝙蝠侠还是小丑？,蝙蝠侠,小丑,,电影,
如果只能和Neo或Trinity一起旅行，你会选谁？,Neo,Trinity,,电影,
如果只能邀请Neo或Trinity来家里吃饭，你会选谁？,Neo,Trinity,,电影,
如果Neo和Trinity都愿意借你一件道具，你会找谁？,Neo,Trinity,,电影,
如果要合开一间店，你会选择Neo还是Trinity？,Neo,Trinity,,电影,
如果只能和杰克·史派罗或伊莉莎白一起旅行，你会选谁？,杰克·史派罗,伊莉莎白,,电影,
如果只能邀请杰克·史派罗或伊莉莎白来家里吃饭，你会选谁？,杰克·史派罗,伊莉莎白,,电影,
如果杰克·史派罗和伊莉莎白都愿意借你一件道具，你会找谁？,杰克·史派罗,伊莉莎白,,电影,
如果要合开一间店，你会选择杰克·史派罗还是伊莉莎白？,杰克·史派罗,伊莉莎白,,电影,
如果只能和木法沙或辛巴一起旅行，你会选谁？,木法沙,辛巴,,电影,
如果只能邀请木法沙或辛巴来家里吃饭，你会选谁？,木法沙,辛巴,,电影,
如果木法沙和辛巴都愿意借你一件道具，你会找谁？,木法沙,辛巴,,电影,
如果要合开一间店，你会选择木法沙还是辛巴？,木法沙,辛巴,,电影,
如果只能和神鬼奇航的船长或星际大战的船长一起旅行，你会选谁？,神鬼奇航的船长,星际大战的船长,,电影,
如果只能邀请神鬼奇航的船长或星际大战的船长来家里吃饭，你会选谁？,神鬼奇航的船长,星际大战的船长,,电影,
如果神鬼奇航的船长和星际大战的船长都愿意借你一件道具，你会找谁？,神鬼奇航的船长,星际大战的船长,,电影,
如果要合开一间店，你会选择神鬼奇航的船长还是星际大战的船长？,神鬼奇航的船长,星际大战的船长,,电影,
如果只能和福尔摩斯或妙丽一起旅行，你会选谁？,福尔摩斯,妙丽,,电影,
如果只能邀请福尔摩斯或妙丽来家里吃饭，你会选谁？,福尔摩斯,妙丽,,电影,
如果福尔摩斯和妙丽都愿意借你一件道具，你会找谁？,福尔摩斯,妙丽,,电影,
如果要合开一间店，你会选择福尔摩斯还是妙丽？,福尔摩斯,妙丽,,电影,
如果只能和甘道夫或邓不利多一起旅行，你会选谁？,甘道夫,邓不利多,,电影,
如果只能邀请甘道夫或邓不利多来家里吃饭，你会选谁？,甘道夫,邓不利多,,电影,
如果甘道夫和邓不利多都愿意借你一件道具，你会找谁？,甘道夫,邓不利多,,电影,
如果要合开一间店，你会选择甘道夫还是邓不利多？,甘道夫,邓不利多,,电影,
如果只能和蜘蛛人或死侍一起旅行，你会选谁？,蜘蛛人,死侍,,电影,
如果只能邀请蜘蛛人或死侍来家里吃饭，你会选谁？,蜘蛛人,死侍,,电影,
如果蜘蛛人和死侍都愿意借你一件道具，你会找谁？,蜘蛛人,死侍,,电影,
如果要合开一间店，你会选择蜘蛛人还是死侍？,蜘蛛人,死侍,,电影,
如果只能和钢铁人或雷神索尔一起旅行，你会选谁？,钢铁人,雷神索尔,,电影,
如果只能邀请钢铁人或雷神索尔来家里吃饭，你会选谁？,钢铁人,雷神索尔,,电影,
如果钢铁人和雷神索尔都愿意借你一件道具，你会找谁？,钢铁人,雷神索尔,,电影,
如果要合开一间店，你会选择钢铁人还是雷神索尔？,钢铁人,雷神索尔,,电影,
如果只能和小丑或谜语人一起旅行，你会选谁？,小丑,谜语人,,电影,
如果只能邀请小丑或谜语人来家里吃饭，你会选谁？,小丑,谜语人,,电影,
如果小丑和谜语人都愿意借你一件道具，你会找谁？,小丑,谜语人,,电影,
如果要合开一间店，你会选择小丑还是谜语人？,小丑,谜语人,,电影,
哆啦A梦、皮卡丘和龙猫中，谁最适合当你的旅行伙伴？,哆啦A梦,皮卡丘,龙猫,动漫,
哆啦A梦、皮卡丘和龙猫中，谁最适合当派对主持人？,哆啦A梦,皮卡丘,龙猫,动漫,
哆啦A梦、皮卡丘和龙猫中，谁最可能成为你的好朋友？,哆啦A梦,皮卡丘,龙猫,动漫,
星期一必须有人陪，你会在哆啦A梦、皮卡丘和龙猫中选谁？,哆啦A梦,皮卡丘,龙猫,动漫,
哆啦A梦、皮卡丘和龙猫中，谁最适合当你的超强队友？,哆啦A梦,皮卡丘,龙猫,动漫,
孙悟空、路飞和漩涡鸣人中，谁最适合当你的旅行伙伴？,孙悟空,路飞,漩涡鸣人,动漫,
孙悟空、路飞和漩涡鸣人中，谁最适合当派对主持人？,孙悟空,路飞,漩涡鸣人,动漫,
孙悟空、路飞和漩涡鸣人中，谁最可能成为你的好朋友？,孙悟空,路飞,漩涡鸣人,动漫,
星期一必须有人陪，你会在孙悟空、路飞和漩涡鸣人中选谁？,孙悟空,路飞,漩涡鸣人,动漫,
孙悟空、路飞和漩涡鸣人中，谁最适合当你的超强队友？,孙悟空,路飞,漩涡鸣人,动漫,
柯南、怪盗基德和鲁邦三世中，谁最适合当你的旅行伙伴？,柯南,怪盗基德,鲁邦三世,动漫,
柯南、怪盗基德和鲁邦三世中，谁最适合当派对主持人？,柯南,怪盗基德,鲁邦三世,动漫,
柯南、怪盗基德和鲁邦三世中，谁最可能成为你的好朋友？,柯南,怪盗基德,鲁邦三世,动漫,
星期一必须有人陪，你会在柯南、怪盗基德和鲁邦三世中选谁？,柯南,怪盗基德,鲁邦三世,动漫,
柯南、怪盗基德和鲁邦三世中，谁最适合当你的超强队友？,柯南,怪盗基德,鲁邦三世,动漫,
炭治郎、五条悟和祢豆子中，谁最适合当你的旅行伙伴？,炭治郎,五条悟,祢豆子,动漫,
炭治郎、五条悟和祢豆子中，谁最适合当派对主持人？,炭治郎,五条悟,祢豆子,动漫,
炭治郎、五条悟和祢豆子中，谁最可能成为你的好朋友？,炭治郎,五条悟,祢豆子,动漫,
星期一必须有人陪，你会在炭治郎、五条悟和祢豆子中选谁？,炭治郎,五条悟,祢豆子,动漫,
炭治郎、五条悟和祢豆子中，谁最适合当你的超强队友？,炭治郎,五条悟,祢豆子,动漫,
小智、小新和小丸子中，谁最适合当你的旅行伙伴？,小智,小新,小丸子,动漫,
小智、小新和小丸子中，谁最适合当派对主持人？,小智,小新,小丸子,动漫,
小智、小新和小丸子中，谁最可能成为你的好朋友？,小智,小新,小丸子,动漫,
星期一必须有人陪，你会在小智、小新和小丸子中选谁？,小智,小新,小丸子,动漫,
小智、小新和小丸子中，谁最适合当你的超强队友？,小智,小新,小丸子,动漫,
哈尔、白龙和无脸男中，谁最适合当你的旅行伙伴？,哈尔,白龙,无脸男,动漫,
哈尔、白龙和无脸男中，谁最适合当派对主持人？,哈尔,白龙,无脸男,动漫,
哈尔、白龙和无脸男中，谁最可能成为你的好朋友？,哈尔,白龙,无脸男,动漫,
星期一必须有人陪，你会在哈尔、白龙和无脸男中选谁？,哈尔,白龙,无脸男,动漫,
哈尔、白龙和无脸男中，谁最适合当你的超强队友？,哈尔,白龙,无脸男,动漫,
樱木花道、流川枫和赤木刚宪中，谁最适合当你的旅行伙伴？,樱木花道,流川枫,赤木刚宪,动漫,
樱木花道、流川枫和赤木刚宪中，谁最适合当派对主持人？,樱木花道,流川枫,赤木刚宪,动漫,
